Date,Currency,Exchange Rate,USD Equivalent,Percent Change
29/01/1981,French franc,0.7400,4.82000,0.153527
29/01/1981,Japanese yen,34.0000,203.87000,0.166773
29/01/1981,U.K. pound,0.0710,2.40150,0.170507
29/01/1981,U.S. dollar,0.5400,1.00000,0.540000
30/01/1981,Deutsche mark,0.4600,2.11450,0.217546
30/01/1981,French franc,0.7400,4.87000,0.151951
30/01/1981,Japanese yen,34.0000,205.72000,0.165273
30/01/1981,U.K. pound,0.0710,2.38600,0.169406
30/01/1981,U.S. dollar,0.5400,1.00000,0.540000
02/02/1981,Deutsche mark,0.4600,2.10600,0.218424
02/02/1981,French franc,0.7400,4.86300,0.152169
02/02/1981,Japanese yen,34.0000,203.17000,0.167348
02/02/1981,U.K. pound,0.0710,2.36000,0.167560
02/02/1981,U.S. dollar,0.5400,1.00000,0.540000
03/02/1981,Deutsche mark,0.4600,2.15000,0.213953
03/02/1981,French franc,0.7400,4.96250,0.149118
03/02/1981,Japanese yen,34.0000,204.90000,0.165935
03/02/1981,U.K. pound,0.0710,2.33650,0.165892
03/02/1981,U.S. dollar,0.5400,1.00000,0.540000
04/02/1981,Deutsche mark,0.4600,2.13170,0.215790
04/02/1981,French franc,0.7400,4.91470,0.150569
04/02/1981,Japanese yen,34.0000,203.57000,0.167019
04/02/1981,U.K. pound,0.0710,2.35150,0.166957
04/02/1981,U.S. dollar,0.5400,1.00000,0.540000
05/02/1981,Deutsche mark,0.4600,2.12150,0.216828
05/02/1981,French franc,0.7400,4.89000,0.151329
05/02/1981,Japanese yen,34.0000,201.72000,0.168550
05/02/1981,U.K. pound,0.0710,2.35700,0.167347
05/02/1981,U.S. dollar,0.5400,1.00000,0.540000
06/02/1981,Deutsche mark,0.4600,2.13900,0.215054
06/02/1981,French franc,0.7400,4.93500,0.149949
06/02/1981,Japanese yen,34.0000,202.95000,0.167529
06/02/1981,U.K. pound,0.0710,2.33600,0.165856
06/02/1981,U.S. dollar,0.5400,1.00000,0.540000
09/02/1981,Deutsche mark,0.4600,2.13550,0.215406
09/02/1981,French franc,0.7400,4.92300,0.150315
09/02/1981,Japanese yen,34.0000,203.52000,0.167060
09/02/1981,U.K. pound,0.0710,2.33850,0.166034
09/02/1981,U.S. dollar,0.5400,1.00000,0.540000
10/02/1981,Deutsche mark,0.4600,2.13850,0.215104
10/02/1981,French franc,0.7400,4.92900,0.150132
10/02/1981,Japanese yen,34.0000,203.61000,0.166986
10/02/1981,U.K. pound,0.0710,2.33970,0.166119
10/02/1981,U.S. dollar,0.5400,1.00000,0.540000
11/02/1981,Deutsche mark,0.4600,2.15000,0.213953
11/02/1981,French franc,0.7400,4.95250,0.149419
11/02/1981,Japanese yen,34.0000,203.50000,0.167076
11/02/1981,U.K. pound,0.0710,2.33500,0.165785
11/02/1981,U.S. dollar,0.5400,1.00000,0.540000
12/02/1981,Deutsche mark,0.4600,2.17150,0.211835
12/02/1981,French franc,0.7400,5.00270,0.147920
12/02/1981,Japanese yen,34.0000,204.45000,0.166300
12/02/1981,U.K. pound,0.0710,2.32430,0.165025
12/02/1981,U.S. dollar,0.5400,1.00000,0.540000
13/02/1981,Deutsche mark,0.4600,2.19670,0.209405
13/02/1981,French franc,0.7400,5.06120,0.146210
13/02/1981,Japanese yen,34.0000,205.67000,0.165313
13/02/1981,U.K. pound,0.0710,2.30200,0.163442
13/02/1981,U.S. dollar,0.5400,1.00000,0.540000
16/02/1981,Deutsche mark,0.4600,2.24900,0.204535
16/02/1981,French franc,0.7400,5.19050,0.142568
16/02/1981,Japanese yen,34.0000,208.55000,0.163030
16/02/1981,U.K. pound,0.0710,2.25000,0.159750
16/02/1981,U.S. dollar,0.5400,1.00000,0.540000
17/02/1981,Deutsche mark,0.4600,2.18900,0.210142
17/02/1981,French franc,0.7400,5.06500,0.146101
17/02/1981,Japanese yen,34.0000,206.27000,0.164833
17/02/1981,U.K. pound,0.0710,2.26850,0.161064
17/02/1981,U.S. dollar,0.5400,1.00000,0.540000
18/02/1981,Deutsche mark,0.4600,2.16700,0.212275
18/02/1981,French franc,0.7400,5.01750,0.147484
18/02/1981,Japanese yen,34.0000,205.72000,0.165273
18/02/1981,U.K. pound,0.0710,2.27250,0.161348
18/02/1981,U.S. dollar,0.5400,1.00000,0.540000
19/02/1981,Deutsche mark,0.4600,2.16450,0.212520
19/02/1981,French franc,0.7400,5.02370,0.147302
19/02/1981,Japanese yen,34.0000,205.97000,0.165073
19/02/1981,U.K. pound,0.0710,2.27050,0.161206
19/02/1981,U.S. dollar,0.5400,1.00000,0.540000
23/02/1981,Deutsche mark,0.4600,2.11000,0.218009
23/02/1981,French franc,0.7400,4.91750,0.150483
23/02/1981,Japanese yen,34.0000,207.55000,0.163816
23/02/1981,U.K. pound,0.0710,2.26600,0.160886
23/02/1981,U.S. dollar,0.5400,1.00000,0.540000
24/02/1981,Deutsche mark,0.4600,2.09820,0.219236
24/02/1981,French franc,0.7400,4.90120,0.150983
24/02/1981,Japanese yen,34.0000,207.22000,0.164077
24/02/1981,U.K. pound,0.0710,2.24330,0.159274
24/02/1981,U.S. dollar,0.5400,1.00000,0.540000
25/02/1981,Deutsche mark,0.4600,2.10300,0.218735
25/02/1981,French franc,0.7400,4.92500,0.150254
25/02/1981,Japanese yen,34.0000,207.27000,0.164037
25/02/1981,U.K. pound,0.0710,2.23150,0.158437
25/02/1981,U.S. dollar,0.5400,1.00000,0.540000
26/02/1981,Deutsche mark,0.4600,2.11950,0.217032
26/02/1981,French franc,0.7400,4.97300,0.148804
26/02/1981,Japanese yen,34.0000,207.50000,0.163855
26/02/1981,U.K. pound,0.0710,2.22450,0.157940
26/02/1981,U.S. dollar,0.5400,1.00000,0.540000
27/02/1981,Deutsche mark,0.4600,2.12800,0.216165
27/02/1981,French franc,0.7400,4.99750,0.148074
27/02/1981,Japanese yen,34.0000,209.20000,0.162524
27/02/1981,U.K. pound,0.0710,2.20450,0.156520
27/02/1981,U.S. dollar,0.5400,1.00000,0.540000
02/03/1981,Deutsche mark,0.4600,2.15100,0.213854
02/03/1981,French franc,0.7400,5.05950,0.146260
02/03/1981,Japanese yen,34.0000,211.10000,0.161061
02/03/1981,U.K. pound,0.0710,2.17750,0.154603
02/03/1981,U.S. dollar,0.5400,1.00000,0.540000
03/03/1981,Deutsche mark,0.4600,2.17250,0.211738
03/03/1981,French franc,0.7400,5.11200,0.144757
03/03/1981,Japanese yen,34.0000,209.52000,0.162276
03/03/1981,U.K. pound,0.0710,2.18150,0.154887
03/03/1981,U.S. dollar,0.5400,1.00000,0.540000
04/03/1981,Deutsche mark,0.4600,2.12100,0.216879
04/03/1981,French franc,0.7400,4.99120,0.148261
04/03/1981,Japanese yen,34.0000,207.72000,0.163682
04/03/1981,U.K. pound,0.0710,2.21500,0.157265
04/03/1981,U.S. dollar,0.5400,1.00000,0.540000
05/03/1981,Deutsche mark,0.4600,2.13160,0.215800
05/03/1981,French franc,0.7400,5.01550,0.147543
05/03/1981,Japanese yen,34.0000,208.20000,0.163305
05/03/1981,U.K. pound,0.0710,2.19920,0.156143
05/03/1981,U.S. dollar,0.5400,1.00000,0.540000
06/03/1981,Deutsche mark,0.4600,2.14750,0.214203
06/03/1981,French franc,0.7400,5.05170,0.146485
06/03/1981,Japanese yen,34.0000,208.97000,0.162703
06/03/1981,U.K. pound,0.0710,2.18450,0.155100
06/03/1981,U.S. dollar,0.5400,1.00000,0.540000
09/03/1981,Deutsche mark,0.4600,2.13460,0.215497
09/03/1981,French franc,0.7400,5.03120,0.147082
09/03/1981,Japanese yen,34.0000,207.37000,0.163958
09/03/1981,U.K. pound,0.0710,2.18450,0.155100
09/03/1981,U.S. dollar,0.5400,1.00000,0.540000
10/03/1981,Deutsche mark,0.4600,2.11080,0.217927
10/03/1981,French franc,0.7400,4.97620,0.148708
10/03/1981,Japanese yen,34.0000,206.67000,0.164513
10/03/1981,U.K. pound,0.0710,2.21150,0.157017
10/03/1981,U.S. dollar,0.5400,1.00000,0.540000
11/03/1981,Deutsche mark,0.4600,2.11250,0.217751
11/03/1981,French franc,0.7400,4.97500,0.148744
11/03/1981,Japanese yen,34.0000,207.77000,0.163642
11/03/1981,U.K. pound,0.0710,2.22350,0.157869
11/03/1981,U.S. dollar,0.5400,1.00000,0.540000
12/03/1981,Deutsche mark,0.4600,2.11200,0.217803
12/03/1981,French franc,0.7400,4.98220,0.148529
12/03/1981,Japanese yen,34.0000,207.55000,0.163816
12/03/1981,U.K. pound,0.0710,2.21600,0.157336
