Valeur
50.1
49.9
8.5
14.6
36.8
40.1
28.1
29.5
42.3
25.2
74.8
33.9
53.0
13.1
45.1
54.9
16.9
20.4
45.2
17.5
27.8
31.3
40.9
25.5
74.5
30.4
53.8
15.8
52.9
47.1
11.6
20.0
42.6
25.8
28.9
31.8
39.3
27.5
72.5
31.9
52.8
15.3
47.4
52.6
12.2
15.8
36.9
35.1
30.6
25.0
44.5
39.0
61.0
50.2
39.5
10.3
49.9
50.1
9.1
14.9
33.3
42.8
30.5
26.7
42.8
26.4
73.6
27.1
55.6
17.3
44.4
55.6
18.2
23.2
42.5
16.1
27.5
30.9
41.6
26.7
73.3
22.9
56.4
20.7
43.0
57.0
8.2
22.9
42.1
26.7
33.7
29.5
36.8
30.0
70.0
27.2
56.4
16.3
49.2
50.8
17.4
13.9
34.9
33.9
29.6
22.9
47.5
34.2
65.8
32.5
50.8
16.7
49.1
50.9
11.8
14.9
32.2
41.2
28.6
27.2
44.2
26.3
73.7
23.4
56.3
20.3
46.0
54.0
15.7
24.7
40.6
19.0
28.5
30.8
40.7
27.7
72.3
21.4
56.9
21.8
47.8
52.2
12.4
20.2
37.5
29.9
31.5
28.5
40.0
29.6
70.4
23.8
56.0
20.2
51.3
48.7
17.6
12.2
29.2
41.0
29.7
20.1
50.2
41.4
58.6
29.8
54.9
15.3
52.3
47.7
7.0
13.1
28.9
51.0
29.3
26.3
44.3
24.9
75.1
23.7
54.7
21.6
47.6
52.4
20.4
22.7
38.4
18.5
25.9
28.6
45.5
24.1
75.9
18.7
55.0
26.3
50.9
49.1
19.0
13.9
31.1
36.0
29.1
23.8
47.1
30.5
69.5
28.3
52.0
19.7
44.6
55.4
8.6
16.2
33.7
41.5
37.5
21.5
41.0
40.1
59.9
32.1
54.5
13.4
50.6
49.4
13.8
16.5
29.8
39.9
28.1
25.3
46.6
21.0
79.0
25.2
54.1
20.7
48.0
52.0
17.0
22.6
37.1
23.3
26.1
29.0
44.9
22.7
77.3
20.4
54.9
24.6
41.4
58.6
6.5
22.8
39.3
31.3
37.7
25.2
37.1
25.5
74.5
26.1
52.9
21.0
41.6
58.4
21.1
18.6
28.2
32.2
25.9
25.5
48.5
26.8
73.2
33.5
50.3
16.2
49.6
50.4
9.1
15.9
31.2
43.8
30.5
24.6
44.9
22.0
78.0
21.8
51.6
26.6
49.3
50.7
22.4
25.2
36.4
16.1
26.7
26.0
47.3
23.2
76.8
16.2
51.8
32.0
42.2
57.8
11.3
21.8
37.7
29.2
32.4
27.1
40.5
24.0
76.0
19.5
51.6
28.9
40.3
59.7
15.9
37.3
25.9
20.8
28.8
23.6
47.6
34.8
65.2
23.9
55.2
21.0
49.4
50.6
9.0
15.4
29.3
46.3
30.1
25.5
44.4
21.6
78.4
22.4
52.9
24.6
46.0
54.0
17.2
23.8
38.7
20.3
28.0
30.3
41.7
22.0
78.0
14.7
52.1
33.2
46.2
53.8
19.2
22.0
35.7
23.1
29.5
26.9
43.7
24.6
75.4
17.8
51.4
30.8
45.1
54.9
14.3
26.6
30.6
28.5
29.9
26.6
43.5
28.5
71.5
21.8
53.3
24.9
48.1
51.9
9.2
15.3
28.1
47.4
30.3
24.5
45.3
22.3
77.7
24.7
50.8
24.5
43.5
56.5
19.5
22.3
36.9
21.3
28.0
26.9
45.0
22.8
77.2
18.8
51.8
29.5
51.5
48.5
16.7
23.9
35.8
23.5
28.4
27.6
44.1
22.6
77.4
20.4
49.0
30.7
46.3
53.7
13.2
25.9
35.9
24.9
28.2
29.5
42.3
21.4
78.6
24.1
47.8
28.1
