Year,Month,Currency,Currency Amount,Exchange Rate,USD Equivalent
1983,August,French franc,0.74,8.1465,0.090837
1983,August,Japanese yen,34.0,246.77,0.13778
1983,August,U.K. pound,0.071,1.4933,0.106024
1983,August,U.S. dollar,0.54,1.0,0.54
1983,December,Deutsche mark,0.46,2.7297,0.168517
1983,December,French franc,0.74,8.3425,0.088702
1983,December,Japanese yen,34.0,231.7,0.146741
1983,December,U.K. pound,0.071,1.4506,0.102993
1983,December,U.S. dollar,0.54,1.0,0.54
1983,February,Deutsche mark,0.46,2.4211,0.189996
1983,February,French franc,0.74,6.8622,0.107837
1983,February,Japanese yen,34.0,235.92,0.144117
1983,February,U.K. pound,0.071,1.5211,0.107998
1983,February,U.S. dollar,0.54,1.0,0.54
1983,January,Deutsche mark,0.46,2.4465,0.188024
1983,January,French franc,0.74,6.93,0.106782
1983,January,Japanese yen,34.0,237.85,0.142947
1983,January,U.K. pound,0.071,1.531,0.108701
1983,January,U.S. dollar,0.54,1.0,0.54
1983,July,Deutsche mark,0.46,2.6449,0.17392
1983,July,French franc,0.74,7.9562,0.093009
1983,July,Japanese yen,34.0,241.62,0.140717
1983,July,U.K. pound,0.071,1.5209,0.107984
1983,July,U.S. dollar,0.54,1.0,0.54
1983,June,Deutsche mark,0.46,2.5425,0.180924
1983,June,French franc,0.74,7.6395,0.096865
1983,June,Japanese yen,34.0,239.6,0.141903
1983,June,U.K. pound,0.071,1.5304,0.108658
1983,June,U.S. dollar,0.54,1.0,0.54
1983,March,Deutsche mark,0.46,2.425,0.189691
1983,March,French franc,0.74,7.2735,0.101739
1983,March,Japanese yen,34.0,239.05,0.14223
1983,March,U.K. pound,0.071,1.479,0.105009
1983,March,U.S. dollar,0.54,1.0,0.54
1983,May,Deutsche mark,0.46,2.5191,0.182605
1983,May,French franc,0.74,7.5585,0.097903
1983,May,Japanese yen,34.0,238.4,0.142617
1983,May,U.K. pound,0.071,1.6086,0.114211
1983,May,U.S. dollar,0.54,1.0,0.54
1983,November,Deutsche mark,0.46,2.6971,0.170554
1983,November,French franc,0.74,8.202,0.090222
1983,November,Japanese yen,34.0,233.18,0.14581
1983,November,U.K. pound,0.071,1.4647,0.103994
1983,November,U.S. dollar,0.54,1.0,0.54
1983,October,Deutsche mark,0.46,2.6261,0.175165
1983,October,French franc,0.74,7.998,0.092523
1983,October,Japanese yen,34.0,233.8,0.145423
1983,October,U.K. pound,0.071,1.4953,0.106166
1983,October,U.S. dollar,0.54,1.0,0.54
1983,September,Deutsche mark,0.46,2.6385,0.174341
1983,September,French franc,0.74,8.01,0.092385
1983,September,Japanese yen,34.0,236.25,0.143915
1983,September,U.K. pound,0.071,1.4957,0.106195
1983,September,U.S. dollar,0.54,1.0,0.54
1984,April,Deutsche mark,0.46,2.7176,0.169267
1984,April,French franc,0.74,8.3375,0.088756
1984,April,Japanese yen,34.0,226.75,0.149945
1984,April,U.K. pound,0.071,1.3965,0.099152
1984,April,U.S. dollar,0.54,1.0,0.54
1984,August,Deutsche mark,0.46,2.8871,0.159329
1984,August,French franc,0.74,8.8627,0.083496
1984,August,Japanese yen,34.0,241.57,0.140746
1984,August,U.K. pound,0.071,1.3107,0.09306
1984,August,U.S. dollar,0.54,1.0,0.54
1984,December,Deutsche mark,0.46,3.15,0.146032
1984,December,French franc,0.74,9.65,0.076684
1984,December,Japanese yen,34.0,251.15,0.135377
1984,December,U.K. pound,0.071,1.1565,0.082112
1984,December,U.S. dollar,0.54,1.0,0.54
1984,February,Deutsche mark,0.46,2.6058,0.176529
1984,February,French franc,0.74,8.0235,0.092229
1984,February,Japanese yen,34.0,233.43,0.145654
1984,February,U.K. pound,0.071,1.489,0.105719
1984,February,U.S. dollar,0.54,1.0,0.54
1984,January,Deutsche mark,0.46,2.8135,0.163497
1984,January,French franc,0.74,8.608,0.085967
1984,January,Japanese yen,34.0,234.52,0.144977
1984,January,U.K. pound,0.071,1.4035,0.099649
1984,January,U.S. dollar,0.54,1.0,0.54
1984,July,Deutsche mark,0.46,2.8965,0.158812
1984,July,French franc,0.74,8.8895,0.083244
1984,July,Japanese yen,34.0,245.41,0.138544
1984,July,U.K. pound,0.071,1.306,0.092726
1984,July,U.S. dollar,0.54,1.0,0.54
1984,June,Deutsche mark,0.46,2.7845,0.1652
1984,June,French franc,0.74,8.545,0.0866
1984,June,Japanese yen,34.0,237.15,0.143369
1984,June,U.K. pound,0.071,1.3527,0.096042
1984,June,U.S. dollar,0.54,1.0,0.54
1984,March,Deutsche mark,0.46,2.5905,0.177572
1984,March,French franc,0.74,7.9825,0.092703
1984,March,Japanese yen,34.0,224.42,0.151502
1984,March,U.K. pound,0.071,1.4426,0.102425
1984,March,U.S. dollar,0.54,1.0,0.54
1984,May,Deutsche mark,0.46,2.735,0.16819
1984,May,French franc,0.74,8.3975,0.088121
1984,May,Japanese yen,34.0,231.7,0.146741
1984,May,U.K. pound,0.071,1.3852,0.098349
1984,May,U.S. dollar,0.54,1.0,0.54
1984,November,Deutsche mark,0.46,3.097,0.148531
1984,November,French franc,0.74,9.4875,0.077997
1984,November,Japanese yen,34.0,246.98,0.137663
1984,November,U.K. pound,0.071,1.1994,0.085157
1984,November,U.S. dollar,0.54,1.0,0.54
1984,October,Deutsche mark,0.46,3.03,0.151815
1984,October,French franc,0.74,9.2975,0.079591
1984,October,Japanese yen,34.0,245.68,0.138391
1984,October,U.K. pound,0.071,1.2174,0.086435
1984,October,U.S. dollar,0.54,1.0,0.54
1984,September,Deutsche mark,0.46,3.0245,0.152091
1984,September,French franc,0.74,9.2815,0.079728
1984,September,Japanese yen,34.0,245.35,0.138578
1984,September,U.K. pound,0.071,1.248,0.088608
1984,September,U.S. dollar,0.54,1.0,0.54
1985,April,Deutsche mark,0.46,3.087,0.149012
1985,April,French franc,0.74,9.42,0.078556
1985,April,Japanese yen,34.0,251.37,0.135259
1985,April,U.K. pound,0.071,1.2443,0.088345
1985,April,U.S. dollar,0.54,1.0,0.54
1985,August,Deutsche mark,0.46,2.782,0.165349
1985,August,French franc,0.74,8.4995,0.087064
1985,August,Japanese yen,34.0,236.85,0.143551
1985,August,U.K. pound,0.071,1.4,0.0994
1985,August,U.S. dollar,0.54,1.0,0.54
1985,December,Deutsche mark,0.46,2.4495,0.187793
1985,December,French franc,0.74,7.525,0.098339
