Year,Month,Currency,Currency Amount,Exchange Rate,USD Equivalent
1990,December,Japanese yen,33.4,135.55,0.246404
1990,December,U.K. pound,0.0893,1.928,0.17217
1990,December,U.S. dollar,0.452,1.0,0.452
1990,February,Deutsche mark,0.527,1.6917,0.311521
1990,February,French franc,1.02,5.7245,0.178182
1990,February,Japanese yen,33.4,148.67,0.224659
1990,February,U.K. pound,0.0893,1.6847,0.150444
1990,February,U.S. dollar,0.452,1.0,0.452
1990,January,Deutsche mark,0.527,1.6827,0.313187
1990,January,French franc,1.02,5.7142,0.178503
1990,January,Japanese yen,33.4,144.2,0.231623
1990,January,U.K. pound,0.0893,1.6828,0.150274
1990,January,U.S. dollar,0.452,1.0,0.452
1990,July,Deutsche mark,0.527,1.596,0.330201
1990,July,French franc,1.02,5.35,0.190654
1990,July,Japanese yen,33.4,146.92,0.227335
1990,July,U.K. pound,0.0893,1.8527,0.165446
1990,July,U.S. dollar,0.452,1.0,0.452
1990,June,Deutsche mark,0.527,1.6712,0.315342
1990,June,French franc,1.02,5.6095,0.181834
1990,June,Japanese yen,33.4,152.4,0.21916
1990,June,U.K. pound,0.0893,1.7418,0.155543
1990,June,U.S. dollar,0.452,1.0,0.452
1990,March,Deutsche mark,0.527,1.6942,0.311061
1990,March,French franc,1.02,5.7005,0.178932
1990,March,Japanese yen,33.4,157.45,0.212131
1990,March,U.K. pound,0.0893,1.6428,0.146702
1990,March,U.S. dollar,0.452,1.0,0.452
1990,May,Deutsche mark,0.527,1.6913,0.311595
1990,May,French franc,1.02,5.7015,0.1789
1990,May,Japanese yen,33.4,152.3,0.219304
1990,May,U.K. pound,0.0893,1.682,0.150203
1990,May,U.S. dollar,0.452,1.0,0.452
1990,November,Deutsche mark,0.527,1.5047,0.350236
1990,November,French franc,1.02,5.079,0.200827
1990,November,Japanese yen,33.4,133.22,0.250713
1990,November,U.K. pound,0.0893,1.9372,0.172992
1990,November,U.S. dollar,0.452,1.0,0.452
1990,October,Deutsche mark,0.527,1.519,0.346939
1990,October,French franc,1.02,5.089,0.200432
1990,October,Japanese yen,33.4,129.62,0.257676
1990,October,U.K. pound,0.0893,1.9455,0.173733
1990,October,U.S. dollar,0.452,1.0,0.452
1990,September,Deutsche mark,0.527,1.5645,0.336849
1990,September,French franc,1.02,5.238,0.194731
1990,September,Japanese yen,33.4,138.2,0.241679
1990,September,U.K. pound,0.0893,1.8735,0.167304
1990,September,U.S. dollar,0.452,1.0,0.452
1991,April,Deutsche mark,0.453,1.7315,0.261623
1991,April,French franc,0.8,5.8515,0.136717
1991,April,Japanese yen,31.8,137.25,0.231694
1991,April,U.K. pound,0.0812,1.709,0.138771
1991,April,U.S. dollar,0.572,1.0,0.572
1991,August,Deutsche mark,0.453,1.741,0.260195
1991,August,French franc,0.8,5.9145,0.135261
1991,August,Japanese yen,31.8,136.75,0.232541
1991,August,U.K. pound,0.0812,1.687,0.136984
1991,August,U.S. dollar,0.572,1.0,0.572
1991,December,Deutsche mark,0.453,1.52,0.298026
1991,December,French franc,0.8,5.1915,0.154098
1991,December,Japanese yen,31.8,125.0,0.2544
1991,December,U.K. pound,0.0812,1.8707,0.151901
1991,December,U.S. dollar,0.572,1.0,0.572
1991,February,Deutsche mark,0.453,1.52,0.298026
1991,February,French franc,0.8,5.1765,0.154545
1991,February,Japanese yen,31.8,132.4,0.240181
1991,February,U.K. pound,0.0812,1.9185,0.155782
1991,February,U.S. dollar,0.572,1.0,0.572
1991,January,Deutsche mark,0.453,1.49,0.304027
1991,January,French franc,0.8,5.0575,0.158181
1991,January,Japanese yen,31.8,131.8,0.241275
1991,January,U.K. pound,0.0812,1.9615,0.159274
1991,January,U.S. dollar,0.572,1.0,0.572
1991,July,Deutsche mark,0.453,1.7455,0.259524
1991,July,French franc,0.8,5.9365,0.13476
1991,July,Japanese yen,31.8,137.7,0.230937
1991,July,U.K. pound,0.0812,1.6845,0.136781
1991,July,U.S. dollar,0.572,1.0,0.572
1991,June,Deutsche mark,0.453,1.812,0.25
1991,June,French franc,0.8,6.142,0.130251
1991,June,Japanese yen,31.8,137.9,0.230602
1991,June,U.K. pound,0.0812,1.6215,0.131666
1991,June,U.S. dollar,0.572,1.0,0.572
1991,March,Deutsche mark,0.453,1.6968,0.266973
1991,March,French franc,0.8,5.7525,0.13907
1991,March,Japanese yen,31.8,140.55,0.226254
1991,March,U.K. pound,0.0812,1.749,0.142019
1991,March,U.S. dollar,0.572,1.0,0.572
1991,May,Deutsche mark,0.453,1.724,0.262761
1991,May,French franc,0.8,5.8465,0.136834
1991,May,Japanese yen,31.8,138.05,0.230351
1991,May,U.K. pound,0.0812,1.7105,0.138893
1991,May,U.S. dollar,0.572,1.0,0.572
1991,November,Deutsche mark,0.453,1.6322,0.27754
1991,November,French franc,0.8,5.5725,0.143562
1991,November,Japanese yen,31.8,129.95,0.24471
1991,November,U.K. pound,0.0812,1.76,0.142912
1991,November,U.S. dollar,0.572,1.0,0.572
1991,October,Deutsche mark,0.453,1.6732,0.270739
1991,October,French franc,0.8,5.7185,0.139897
1991,October,Japanese yen,31.8,131.15,0.24247
1991,October,U.K. pound,0.0812,1.7415,0.14141
1991,October,U.S. dollar,0.572,1.0,0.572
1991,September,Deutsche mark,0.453,1.661,0.272727
1991,September,French franc,0.8,5.6605,0.14133
1991,September,Japanese yen,31.8,132.7,0.239638
1991,September,U.K. pound,0.0812,1.7525,0.142303
1991,September,U.S. dollar,0.572,1.0,0.572
1992,April,Deutsche mark,0.453,1.6595,0.272974
1992,April,French franc,0.8,5.591,0.143087
1992,April,Japanese yen,31.8,133.5,0.238202
1992,April,U.K. pound,0.0812,1.7672,0.143497
1992,April,U.S. dollar,0.572,1.0,0.572
1992,August,Deutsche mark,0.453,1.4016,0.323202
1992,August,French franc,0.8,4.7785,0.167417
1992,August,Japanese yen,31.8,122.93,0.258684
1992,August,U.K. pound,0.0812,1.9896,0.161556
1992,August,U.S. dollar,0.572,1.0,0.572
1992,December,Deutsche mark,0.453,1.6165,0.280235
1992,December,French franc,0.8,5.514,0.145085
1992,December,Japanese yen,31.8,124.75,0.25491
1992,December,U.K. pound,0.0812,1.512,0.122774
1992,December,U.S. dollar,0.572,1.0,0.572
1992,February,Deutsche mark,0.453,1.6382,0.276523
1992,February,French franc,0.8,5.57,0.143627
1992,February,Japanese yen,31.8,129.35,0.245845
1992,February,U.K. pound,0.0812,1.76,0.142912
1992,February,U.S. dollar,0.572,1.0,0.572
1992,January,Deutsche mark,0.453,1.6045,0.282331
1992,January,French franc,0.8,5.4665,0.146346
1992,January,Japanese yen,31.8,125.7,0.252983
1992,January,U.K. pound,0.0812,1.7925,0.145551
1992,January,U.S. dollar,0.572,1.0,0.572
1992,July,Deutsche mark,0.453,1.4787,0.30635
1992,July,French franc,0.8,4.995,0.16016
1992,July,Japanese yen,31.8,127.3,0.249804
1992,July,U.K. pound,0.0812,1.9193,0.155847
1992,July,U.S. dollar,0.572,1.0,0.572
1992,June,Deutsche mark,0.453,1.527,0.29666
1992,June,French franc,0.8,5.1325,0.155869
1992,June,Japanese yen,31.8,125.93,0.252521
1992,June,U.K. pound,0.0812,1.898,0.154118
1992,June,U.S. dollar,0.572,1.0,0.572
1992,March,Deutsche mark,0.453,1.6427,0.275766
1992,March,French franc,0.8,5.571,0.143601
1992,March,Japanese yen,31.8,132.97,0.239152
1992,March,U.K. pound,0.0812,1.7392,0.141223
1992,March,U.S. dollar,0.572,1.0,0.572
1992,May,Deutsche mark,0.453,1.6132,0.280808
1992,May,French franc,0.8,5.415,0.147738
1992,May,Japanese yen,31.8,128.25,0.247953
1992,May,U.K. pound,0.0812,1.8205,0.147825
1992,May,U.S. dollar,0.572,1.0,0.572
1992,November,Deutsche mark,0.453,1.6012,0.282913
1992,November,French franc,0.8,5.435,0.147194
1992,November,Japanese yen,31.8,124.87,0.254665
1992,November,U.K. pound,0.0812,1.5048,0.12219
1992,November,U.S. dollar,0.572,1.0,0.572
1992,October,Deutsche mark,0.453,1.5368,0.294768
1992,October,French franc,0.8,5.2135,0.153448
1992,October,Japanese yen,31.8,123.1,0.258327
1992,October,U.K. pound,0.0812,1.569,0.127403
1992,October,U.S. dollar,0.572,1.0,0.572
1992,September,Deutsche mark,0.453,1.4077,0.321802
1992,September,French franc,0.8,4.76,0.168067
1992,September,Japanese yen,31.8,119.45,0.26622
1992,September,U.K. pound,0.0812,1.7827,0.144755
1992,September,U.S. dollar,0.572,1.0,0.572
1993,April,Deutsche mark,0.453,1.5797,0.286763
1993,April,French franc,0.8,5.323,0.150291
1993,April,Japanese yen,31.8,111.0,0.286486
1993,April,U.K. pound,0.0812,1.5745,0.127849
1993,April,U.S. dollar,0.572,1.0,0.572
1993,August,Deutsche mark,0.453,1.6682,0.27155
1993,August,French franc,0.8,5.828,0.137268
1993,August,Japanese yen,31.8,104.2,0.305182
1993,August,U.K. pound,0.0812,1.4973,0.121581
1993,August,U.S. dollar,0.572,1.0,0.572
1993,December,Deutsche mark,0.453,1.734,0.261246
1993,December,French franc,0.8,5.894,0.135731
1993,December,Japanese yen,31.8,111.85,0.284309
1993,December,U.K. pound,0.0812,1.4812,0.120273
1993,December,U.S. dollar,0.572,1.0,0.572
1993,February,Deutsche mark,0.453,1.6432,0.275682
1993,February,French franc,0.8,5.5827,0.1433
1993,February,Japanese yen,31.8,118.08,0.269309
1993,February,U.K. pound,0.0812,1.4262,0.115807
1993,February,U.S. dollar,0.572,1.0,0.572
1993,January,Deutsche mark,0.453,1.5927,0.284423
1993,January,French franc,0.8,5.3905,0.148409
1993,January,Japanese yen,31.8,124.67,0.255073
1993,January,U.K. pound,0.0812,1.5022,0.121979
1993,January,U.S. dollar,0.572,1.0,0.572
1993,July,Deutsche mark,0.453,1.7387,0.260539
1993,July,French franc,0.8,5.964,0.134138
1993,July,Japanese yen,31.8,104.67,0.303812
1993,July,U.K. pound,0.0812,1.4807,0.120233
1993,July,U.S. dollar,0.572,1.0,0.572
1993,June,Deutsche mark,0.453,1.6882,0.268333
1993,June,French franc,0.8,5.689,0.140622
1993,June,Japanese yen,31.8,105.95,0.300142
1993,June,U.K. pound,0.0812,1.5087,0.122506
1993,June,U.S. dollar,0.572,1.0,0.572
1993,March,Deutsche mark,0.453,1.615,0.280495
1993,March,French franc,0.8,5.4785,0.146025
1993,March,Japanese yen,31.8,114.75,0.277124
1993,March,U.K. pound,0.0812,1.5035,0.122084
1993,March,U.S. dollar,0.572,1.0,0.572
1993,May,Deutsche mark,0.453,1.5947,0.284066
1993,May,French franc,0.8,5.382,0.148644
1993,May,Japanese yen,31.8,107.0,0.297196
1993,May,U.K. pound,0.0812,1.5587,0.126566
1993,May,U.S. dollar,0.572,1.0,0.572
1993,November,Deutsche mark,0.453,1.7108,0.264788
1993,November,French franc,0.8,5.9155,0.135238
1993,November,Japanese yen,31.8,109.22,0.291155
1993,November,U.K. pound,0.0812,1.4865,0.120704
1993,November,U.S. dollar,0.572,1.0,0.572
1993,October,Deutsche mark,0.453,1.6752,0.270415
1993,October,French franc,0.8,5.866,0.136379
1993,October,Japanese yen,31.8,108.38,0.293412
1993,October,U.K. pound,0.0812,1.4867,0.12072
1993,October,U.S. dollar,0.572,1.0,0.572
1993,September,Deutsche mark,0.453,1.6185,0.279889
1993,September,French franc,0.8,5.6455,0.141706
1993,September,Japanese yen,31.8,105.25,0.302138
1993,September,U.K. pound,0.0812,1.5107,0.122669
1993,September,U.S. dollar,0.572,1.0,0.572
1994,April,Deutsche mark,0.453,1.6638,0.272268
1994,April,French franc,0.8,5.704,0.140252
1994,April,Japanese yen,31.8,101.18,0.314291
1994,April,U.K. pound,0.0812,1.5095,0.122571
1994,April,U.S. dollar,0.572,1.0,0.572
1994,August,Deutsche mark,0.453,1.5825,0.286256
1994,August,French franc,0.8,5.423,0.14752
1994,August,Japanese yen,31.8,100.2,0.317365
1994,August,U.K. pound,0.0812,1.534,0.124561
1994,August,U.S. dollar,0.572,1.0,0.572
1994,December,Deutsche mark,0.453,1.55,0.292258
1994,December,French franc,0.8,5.342,0.149757
1994,December,Japanese yen,31.8,99.7,0.318957
1994,December,U.K. pound,0.0812,1.5625,0.126875
1994,December,U.S. dollar,0.572,1.0,0.572
1994,February,Deutsche mark,0.453,1.7134,0.264387
1994,February,French franc,0.8,5.824,0.137363
1994,February,Japanese yen,31.8,104.33,0.304802
1994,February,U.K. pound,0.0812,1.487,0.120744
1994,February,U.S. dollar,0.572,1.0,0.572
1994,January,Deutsche mark,0.453,1.7412,0.260165
1994,January,French franc,0.8,5.9125,0.135307
1994,January,Japanese yen,31.8,109.07,0.291556
1994,January,U.K. pound,0.0812,1.4981,0.121646
1994,January,U.S. dollar,0.572,1.0,0.572
1994,July,Deutsche mark,0.453,1.5955,0.283924
1994,July,French franc,0.8,5.446,0.146897
1994,July,Japanese yen,31.8,100.47,0.316512
1994,July,U.K. pound,0.0812,1.5263,0.123936
1994,July,U.S. dollar,0.572,1.0,0.572
1994,June,Deutsche mark,0.453,1.5953,0.283959
1994,June,French franc,0.8,5.472,0.146199
1994,June,Japanese yen,31.8,99.02,0.321147
1994,June,U.K. pound,0.0812,1.5402,0.125064
1994,June,U.S. dollar,0.572,1.0,0.572
1994,March,Deutsche mark,0.453,1.6719,0.270949
1994,March,French franc,0.8,5.71,0.140105
1994,March,Japanese yen,31.8,102.85,0.309188
1994,March,U.K. pound,0.0812,1.4822,0.120355
1994,March,U.S. dollar,0.572,1.0,0.572
1994,May,Deutsche mark,0.453,1.6412,0.276018
1994,May,French franc,0.8,5.613,0.142526
1994,May,Japanese yen,31.8,104.55,0.304161
1994,May,U.K. pound,0.0812,1.5102,0.122628
1994,May,U.S. dollar,0.572,1.0,0.572
1994,November,Deutsche mark,0.453,1.5707,0.288406
1994,November,French franc,0.8,5.387,0.148506
1994,November,Japanese yen,31.8,99.08,0.320953
1994,November,U.K. pound,0.0812,1.5625,0.126875
1994,November,U.S. dollar,0.572,1.0,0.572
1994,October,Deutsche mark,0.453,1.5115,0.299702
1994,October,French franc,0.8,5.1755,0.154574
1994,October,Japanese yen,31.8,97.38,0.326556
1994,October,U.K. pound,0.0812,1.622,0.131706
1994,October,U.S. dollar,0.572,1.0,0.572
1994,September,Deutsche mark,0.453,1.5478,0.292673
1994,September,French franc,0.8,5.283,0.151429
1994,September,Japanese yen,31.8,98.45,0.323007
1994,September,U.K. pound,0.0812,1.5797,0.128272
1994,September,U.S. dollar,0.572,1.0,0.572
1995,April,Deutsche mark,0.453,1.3803,0.32819
1995,April,French franc,0.8,4.902,0.163199
1995,April,Japanese yen,31.8,83.97,0.378707
1995,April,U.K. pound,0.0812,1.6125,0.130935
1995,April,U.S. dollar,0.572,1.0,0.572
1995,August,Deutsche mark,0.453,1.4665,0.308899
1995,August,French franc,0.8,5.0418,0.158673
1995,August,Japanese yen,31.8,97.29,0.326858
1995,August,U.K. pound,0.0812,1.5525,0.126063
1995,August,U.S. dollar,0.572,1.0,0.572
1995,December,Deutsche mark,0.453,1.4315,0.316451
1995,December,French franc,0.8,4.8931,0.163496
1995,December,Japanese yen,31.8,103.02,0.308678
1995,December,U.K. pound,0.0812,1.55,0.12586
1995,December,U.S. dollar,0.572,1.0,0.572
1995,February,Deutsche mark,0.453,1.4612,0.310019
1995,February,French franc,0.8,5.151,0.15531
1995,February,Japanese yen,31.8,96.7,0.328852
1995,February,U.K. pound,0.0812,1.579,0.128215
1995,February,U.S. dollar,0.572,1.0,0.572
1995,January,Deutsche mark,0.453,1.5087,0.300259
1995,January,French franc,0.8,5.232,0.152905
1995,January,Japanese yen,31.8,98.7,0.322188
1995,January,U.K. pound,0.0812,1.593,0.129352
1995,January,U.S. dollar,0.572,1.0,0.572
1995,July,Deutsche mark,0.453,1.3805,0.328142
1995,July,French franc,0.8,4.7738,0.167581
1995,July,Japanese yen,31.8,87.92,0.361692
1995,July,U.K. pound,0.0812,1.6025,0.130123
1995,July,U.S. dollar,0.572,1.0,0.572
1995,June,Deutsche mark,0.453,1.384,0.327312
1995,June,French franc,0.8,4.8533,0.164836
1995,June,Japanese yen,31.8,84.76,0.375177
1995,June,U.K. pound,0.0812,1.594,0.129433
1995,June,U.S. dollar,0.572,1.0,0.572
1995,March,Deutsche mark,0.453,1.3825,0.327667
1995,March,French franc,0.8,4.847,0.165051
1995,March,Japanese yen,31.8,87.17,0.364804
1995,March,U.K. pound,0.0812,1.613,0.130976
1995,March,U.S. dollar,0.572,1.0,0.572
1995,May,Deutsche mark,0.453,1.3885,0.326251
1995,May,French franc,0.8,4.8903,0.163589
1995,May,Japanese yen,31.8,82.85,0.383826
1995,May,U.K. pound,0.0812,1.604,0.130245
1995,May,U.S. dollar,0.572,1.0,0.572
1995,November,Deutsche mark,0.453,1.4364,0.315372
1995,November,French franc,0.8,4.9633,0.161183
1995,November,Japanese yen,31.8,101.6,0.312992
1995,November,U.K. pound,0.0812,1.5345,0.124601
1995,November,U.S. dollar,0.572,1.0,0.572
1995,October,Deutsche mark,0.453,1.413,0.320594
1995,October,French franc,0.8,4.9059,0.163069
1995,October,Japanese yen,31.8,102.24,0.311033
1995,October,U.K. pound,0.0812,1.5746,0.127858
1995,October,U.S. dollar,0.572,1.0,0.572
1995,September,Deutsche mark,0.453,1.4178,0.319509
1995,September,French franc,0.8,4.8977,0.163342
1995,September,Japanese yen,31.8,98.4,0.323171
1995,September,U.K. pound,0.0812,1.58,0.128296
1995,September,U.S. dollar,0.572,1.0,0.572
1996,April,Deutsche mark,0.446,1.5291,0.291675
1996,April,French franc,0.813,5.1646,0.157418
1996,April,Japanese yen,27.2,104.37,0.260611
1996,April,U.K. pound,0.105,1.5081,0.158351
1996,April,U.S. dollar,0.582,1.0,0.582
1996,August,Deutsche mark,0.446,1.4802,0.301311
1996,August,French franc,0.813,5.0656,0.160494
1996,August,Japanese yen,27.2,108.65,0.250345
1996,August,U.K. pound,0.105,1.5572,0.163506
1996,August,U.S. dollar,0.582,1.0,0.582
1996,December,Deutsche mark,0.446,1.55,0.287742
1996,December,French franc,0.813,5.2255,0.155583
1996,December,Japanese yen,27.2,116.07,0.234341
1996,December,U.K. pound,0.105,1.698,0.17829
1996,December,U.S. dollar,0.582,1.0,0.582
1996,February,Deutsche mark,0.446,1.466,0.304229
1996,February,French franc,0.813,5.024,0.161823
1996,February,Japanese yen,27.2,104.75,0.259666
1996,February,U.K. pound,0.105,1.533,0.160965
1996,February,U.S. dollar,0.582,1.0,0.582
1996,January,Deutsche mark,0.446,1.4918,0.298968
1996,January,French franc,0.813,5.1255,0.158619
1996,January,Japanese yen,27.2,107.13,0.253897
1996,January,U.K. pound,0.105,1.5067,0.158204
1996,January,U.S. dollar,0.582,1.0,0.582
1996,July,Deutsche mark,0.446,1.4709,0.303216
1996,July,French franc,0.813,4.9949,0.162766
1996,July,Japanese yen,27.2,107.1,0.253968
1996,July,U.K. pound,0.105,1.558,0.16359
1996,July,U.S. dollar,0.582,1.0,0.582
1996,June,Deutsche mark,0.446,1.5218,0.293074
1996,June,French franc,0.813,5.1472,0.15795
1996,June,Japanese yen,27.2,109.8,0.247723
1996,June,U.K. pound,0.105,1.5485,0.162593
1996,June,U.S. dollar,0.582,1.0,0.582
1996,March,Deutsche mark,0.446,1.4757,0.302229
1996,March,French franc,0.813,5.0315,0.161582
1996,March,Japanese yen,27.2,106.57,0.255231
1996,March,U.K. pound,0.105,1.5254,0.160167
1996,March,U.S. dollar,0.582,1.0,0.582
1996,May,Deutsche mark,0.446,1.5339,0.290762
1996,May,French franc,0.813,5.1905,0.156632
1996,May,Japanese yen,27.2,108.25,0.25127
1996,May,U.K. pound,0.105,1.5383,0.161522
1996,May,U.S. dollar,0.582,1.0,0.582
1996,November,Deutsche mark,0.446,1.534,0.290743
1996,November,French franc,0.813,5.2113,0.156007
1996,November,Japanese yen,27.2,113.71,0.239205
1996,November,U.K. pound,0.105,1.6825,0.176663
1996,November,U.S. dollar,0.582,1.0,0.582
1996,October,Deutsche mark,0.446,1.5125,0.294876
1996,October,French franc,0.813,5.1045,0.159271
1996,October,Japanese yen,27.2,113.75,0.239121
1996,October,U.K. pound,0.105,1.6282,0.170961
1996,October,U.S. dollar,0.582,1.0,0.582
1996,September,Deutsche mark,0.446,1.5274,0.291999
1996,September,French franc,0.813,5.1696,0.157266
1996,September,Japanese yen,27.2,111.44,0.244078
1996,September,U.K. pound,0.105,1.5622,0.164031
1996,September,U.S. dollar,0.582,1.0,0.582
1997,April,Deutsche mark,0.446,1.7274,0.258192
1997,April,French franc,0.813,5.8237,0.139602
1997,April,Japanese yen,27.2,126.72,0.214646
1997,April,U.K. pound,0.105,1.6294,0.171087
1997,April,U.S. dollar,0.582,1.0,0.582
1997,August,Deutsche mark,0.446,1.8882,0.236204
1997,August,French franc,0.813,6.3737,0.127555
1997,August,Japanese yen,27.2,119.4,0.227806
1997,August,U.K. pound,0.105,1.5977,0.167759
1997,August,U.S. dollar,0.582,1.0,0.582
1997,December,Deutsche mark,0.446,1.8882,0.236204
1997,December,French franc,0.813,6.3737,0.127555
1997,December,Japanese yen,27.2,119.4,0.227806
1997,December,U.K. pound,0.105,1.5977,0.167759
1997,December,U.S. dollar,0.582,1.0,0.582
1997,February,Deutsche mark,0.446,1.6913,0.263702
1997,February,French franc,0.813,5.7092,0.142402
1997,February,Japanese yen,27.2,120.51,0.225707
1997,February,U.K. pound,0.105,1.6298,0.171129
1997,February,U.S. dollar,0.582,1.0,0.582
1997,January,Deutsche mark,0.446,1.6335,0.273033
1997,January,French franc,0.813,5.5149,0.147419
1997,January,Japanese yen,27.2,121.43,0.223997
1997,January,U.K. pound,0.105,1.602,0.16821
1997,January,U.S. dollar,0.582,1.0,0.582
1997,July,Deutsche mark,0.446,1.8329,0.24333
1997,July,French franc,0.813,6.1815,0.131521
1997,July,Japanese yen,27.2,118.29,0.229943
1997,July,U.K. pound,0.105,1.6364,0.171822
1997,July,U.S. dollar,0.582,1.0,0.582
1997,June,Deutsche mark,0.446,1.7445,0.255661
1997,June,French franc,0.813,5.8822,0.138214
1997,June,Japanese yen,27.2,114.47,0.237617
1997,June,U.K. pound,0.105,1.6633,0.174647
1997,June,U.S. dollar,0.582,1.0,0.582
1997,March,Deutsche mark,0.446,1.6677,0.267434
1997,March,French franc,0.813,5.6155,0.144778
1997,March,Japanese yen,27.2,123.67,0.21994
1997,March,U.K. pound,0.105,1.6451,0.172736
1997,March,U.S. dollar,0.582,1.0,0.582
1997,May,Deutsche mark,0.446,1.7,0.262353
1997,May,French franc,0.813,5.7449,0.141517
1997,May,Japanese yen,27.2,116.34,0.233797
1997,May,U.K. pound,0.105,1.6393,0.172127
1997,May,U.S. dollar,0.582,1.0,0.582
1997,November,Deutsche mark,0.446,1.8882,0.236204
1997,November,French franc,0.813,6.3737,0.127555
1997,November,Japanese yen,27.2,119.4,0.227806
1997,November,U.K. pound,0.105,1.5977,0.167759
1997,November,U.S. dollar,0.582,1.0,0.582
1997,October,Deutsche mark,0.446,1.8882,0.236204
1997,October,French franc,0.813,6.3737,0.127555
1997,October,Japanese yen,27.2,119.4,0.227806
1997,October,U.K. pound,0.105,1.5977,0.167759
1997,October,U.S. dollar,0.582,1.0,0.582
1997,September,Deutsche mark,0.446,1.8882,0.236204
1997,September,French franc,0.813,6.3737,0.127555
1997,September,Japanese yen,27.2,119.4,0.227806
1997,September,U.K. pound,0.105,1.5977,0.167759
1997,September,U.S. dollar,0.582,1.0,0.582
1998,April,Deutsche mark,0.446,1.8882,0.236204
1998,April,French franc,0.813,6.3737,0.127555
1998,April,Japanese yen,27.2,119.4,0.227806
1998,April,U.K. pound,0.105,1.5977,0.167759
1998,April,U.S. dollar,0.582,1.0,0.582
1998,August,Deutsche mark,0.446,1.8882,0.236204
1998,August,French franc,0.813,6.3737,0.127555
1998,August,Japanese yen,27.2,119.4,0.227806
1998,August,U.K. pound,0.105,1.5977,0.167759
1998,August,U.S. dollar,0.582,1.0,0.582
1998,December,Deutsche mark,0.446,1.8882,0.236204
1998,December,French franc,0.813,6.3737,0.127555
1998,December,Japanese yen,27.2,119.4,0.227806
1998,December,U.K. pound,0.105,1.5977,0.167759
1998,December,U.S. dollar,0.582,1.0,0.582
1998,February,Deutsche mark,0.446,1.8882,0.236204
1998,February,French franc,0.813,6.3737,0.127555
1998,February,Japanese yen,27.2,119.4,0.227806
1998,February,U.K. pound,0.105,1.5977,0.167759
1998,February,U.S. dollar,0.582,1.0,0.582
1998,January,Deutsche mark,0.446,1.8882,0.236204
1998,January,French franc,0.813,6.3737,0.127555
1998,January,Japanese yen,27.2,119.4,0.227806
1998,January,U.K. pound,0.105,1.5977,0.167759
1998,January,U.S. dollar,0.582,1.0,0.582
1998,July,Deutsche mark,0.446,1.8882,0.236204
1998,July,French franc,0.813,6.3737,0.127555
1998,July,Japanese yen,27.2,119.4,0.227806
1998,July,U.K. pound,0.105,1.5977,0.167759
1998,July,U.S. dollar,0.582,1.0,0.582
1998,June,Deutsche mark,0.446,1.8882,0.236204
1998,June,French franc,0.813,6.3737,0.127555
1998,June,Japanese yen,27.2,119.4,0.227806
1998,June,U.K. pound,0.105,1.5977,0.167759
1998,June,U.S. dollar,0.582,1.0,0.582
1998,March,Deutsche mark,0.446,1.8882,0.236204
1998,March,French franc,0.813,6.3737,0.127555
1998,March,Japanese yen,27.2,119.4,0.227806
1998,March,U.K. pound,0.105,1.5977,0.167759
1998,March,U.S. dollar,0.582,1.0,0.582
1998,May,Deutsche mark,0.446,1.8882,0.236204
1998,May,French franc,0.813,6.3737,0.127555
1998,May,Japanese yen,27.2,119.4,0.227806
1998,May,U.K. pound,0.105,1.5977,0.167759
1998,May,U.S. dollar,0.582,1.0,0.582
1998,November,Deutsche mark,0.446,1.8882,0.236204
1998,November,French franc,0.813,6.3737,0.127555
1998,November,Japanese yen,27.2,119.4,0.227806
1998,November,U.K. pound,0.105,1.5977,0.167759
1998,November,U.S. dollar,0.582,1.0,0.582
1998,October,Deutsche mark,0.446,1.8882,0.236204
1998,October,French franc,0.813,6.3737,0.127555
1998,October,Japanese yen,27.2,119.4,0.227806
1998,October,U.K. pound,0.105,1.5977,0.167759
1998,October,U.S. dollar,0.582,1.0,0.582
1998,September,Deutsche mark,0.446,1.8882,0.236204
1998,September,French franc,0.813,6.3737,0.127555
1998,September,Japanese yen,27.2,119.4,0.227806
1998,September,U.K. pound,0.105,1.5977,0.167759
1998,September,U.S. dollar,0.582,1.0,0.582
1999,April,Deutsche mark,0.446,1.8882,0.236204
1999,April,French franc,0.813,6.3737,0.127555
1999,April,Japanese yen,27.2,119.4,0.227806
1999,April,U.K. pound,0.105,1.5977,0.167759
1999,April,U.S. dollar,0.582,1.0,0.582
1999,August,Deutsche mark,0.446,1.8882,0.236204
1999,August,French franc,0.813,6.3737,0.127555
1999,August,Japanese yen,27.2,119.4,0.227806
1999,August,U.K. pound,0.105,1.5977,0.167759
1999,August,U.S. dollar,0.582,1.0,0.582
1999,December,Deutsche mark,0.446,1.8882,0.236204
1999,December,French franc,0.813,6.3737,0.127555
1999,December,Japanese yen,27.2,119.4,0.227806
1999,December,U.K. pound,0.105,1.5977,0.167759
1999,December,U.S. dollar,0.582,1.0,0.582
1999,February,Deutsche mark,0.446,1.8882,0.236204
1999,February,French franc,0.813,6.3737,0.127555
1999,February,Japanese yen,27.2,119.4,0.227806
1999,February,U.K. pound,0.105,1.5977,0.167759
1999,February,U.S. dollar,0.582,1.0,0.582
1999,January,Deutsche mark,0.446,1.8882,0.236204
1999,January,French franc,0.813,6.3737,0.127555
1999,January,Japanese yen,27.2,119.4,0.227806
1999,January,U.K. pound,0.105,1.5977,0.167759
1999,January,U.S. dollar,0.582,1.0,0.582
1999,July,Deutsche mark,0.446,1.8882,0.236204
