Date,Currency,Currency Amount,Exchange Rate,USD Equivalent,Year,Month
1981-01-27,French franc,0.74,4.749,0.155822,1981,January
1981-01-27,Japanese yen,34.0,202.65,0.167777,1981,January
1981-01-27,U.K. pound,0.071,2.4145,0.17143,1981,January
1981-01-27,U.S. dollar,0.54,1.0,0.54,1981,January
1981-01-28,Deutsche mark,0.46,2.0831,0.220825,1981,January
1981-01-28,French franc,0.74,4.8,0.154167,1981,January
1981-01-28,Japanese yen,34.0,203.22,0.167306,1981,January
1981-01-28,U.K. pound,0.071,2.4058,0.170812,1981,January
1981-01-28,U.S. dollar,0.54,1.0,0.54,1981,January
1981-01-29,Deutsche mark,0.46,2.0918,0.219906,1981,January
1981-01-29,French franc,0.74,4.82,0.153527,1981,January
1981-01-29,Japanese yen,34.0,203.87,0.166773,1981,January
1981-01-29,U.K. pound,0.071,2.4015,0.170507,1981,January
1981-01-29,U.S. dollar,0.54,1.0,0.54,1981,January
1981-01-30,Deutsche mark,0.46,2.1145,0.217546,1981,January
1981-01-30,French franc,0.74,4.87,0.151951,1981,January
1981-01-30,Japanese yen,34.0,205.72,0.165273,1981,January
1981-01-30,U.K. pound,0.071,2.386,0.169406,1981,January
1981-01-30,U.S. dollar,0.54,1.0,0.54,1981,January
1981-02-02,Deutsche mark,0.46,2.106,0.218424,1981,February
1981-02-02,French franc,0.74,4.863,0.152169,1981,February
1981-02-02,Japanese yen,34.0,203.17,0.167348,1981,February
1981-02-02,U.K. pound,0.071,2.36,0.16756,1981,February
1981-02-02,U.S. dollar,0.54,1.0,0.54,1981,February
1981-02-03,Deutsche mark,0.46,2.15,0.213953,1981,February
1981-02-03,French franc,0.74,4.9625,0.149118,1981,February
1981-02-03,Japanese yen,34.0,204.9,0.165935,1981,February
1981-02-03,U.K. pound,0.071,2.3365,0.165892,1981,February
1981-02-03,U.S. dollar,0.54,1.0,0.54,1981,February
1981-02-04,Deutsche mark,0.46,2.1317,0.21579,1981,February
1981-02-04,French franc,0.74,4.9147,0.150569,1981,February
1981-02-04,Japanese yen,34.0,203.57,0.167019,1981,February
1981-02-04,U.K. pound,0.071,2.3515,0.166957,1981,February
1981-02-04,U.S. dollar,0.54,1.0,0.54,1981,February
1981-02-05,Deutsche mark,0.46,2.1215,0.216828,1981,February
1981-02-05,French franc,0.74,4.89,0.151329,1981,February
1981-02-05,Japanese yen,34.0,201.72,0.16855,1981,February
1981-02-05,U.K. pound,0.071,2.357,0.167347,1981,February
1981-02-05,U.S. dollar,0.54,1.0,0.54,1981,February
1981-02-06,Deutsche mark,0.46,2.139,0.215054,1981,February
1981-02-06,French franc,0.74,4.935,0.149949,1981,February
1981-02-06,Japanese yen,34.0,202.95,0.167529,1981,February
1981-02-06,U.K. pound,0.071,2.336,0.165856,1981,February
1981-02-06,U.S. dollar,0.54,1.0,0.54,1981,February
1981-02-09,Deutsche mark,0.46,2.1355,0.215406,1981,February
