Année,Population,Sexe,Tranche d'âge,Population au premier janvier
1949.0,6270028.0,,,41313195.0
1950.0,6369424.0,,,41647258.0
1951.0,6450394.0,,,42010088.0
1952.0,6524893.0,,,42300981.0
1953.0,6601236.0,,,42618354.0
1954.0,6688258.0,,,42885138.0
1955.0,6783368.0,,,43227872.0
1956.0,6903839.0,,,43627467.0
1957.0,7038887.0,,,44058683.0
1958.0,7194933.0,,,44563043.0
1959.0,7331768.0,,,45014662.0
1960.0,7473291.0,,,45464797.0
1961.0,7637936.0,,,45903656.0
1962.0,7835840.0,,,46422000.0
1963.0,8105601.0,,,47573406.0
1964.0,8264240.0,,,48059029.0
1965.0,8420382.0,,,48561800.0
1966.0,8545090.0,,,48953792.0
1967.0,8572004.0,,,49373537.0
1968.0,8556725.0,,,49723072.0
1969.0,8534949.0,,,50107735.0
1970.0,8529220.0,,,50528219.0
1971.0,8546076.0,,,51016234.0
1972.0,8590195.0,,,51485953.0
1973.0,8623287.0,,,51915873.0
1974.0,8648742.0,,,52320725.0
1975.0,8623235.0,,,52600000.0
1976.0,8587539.0,,,52798338.0
1977.0,8535010.0,,,53019005.0
1978.0,8490408.0,,,53271566.0
1979.0,8439834.0,,,53481073.0
1980.0,8394805.0,,,53731387.0
1981.0,8377919.0,,,54028630.0
1982.0,8354781.0,,,54335000.0
1983.0,8343002.0,,,54649984.0
1984.0,8290504.0,,,54894854.0
1985.0,8235204.0,,,55157303.0
1986.0,8187226.0,,,55411238.0
1987.0,8146606.0,,,55681780.0
1988.0,8110575.0,,,55966142.0
1989.0,8079276.0,,,56269810.0
1990.0,8039675.0,,,56577000.0
1991.0,7981366.0,,,56840661.0
1992.0,7915208.0,,,57110533.0
1993.0,7842409.0,,,57369161.0
1994.0,7765056.0,,,57565008.0
1995.0,7714652.0,,,57752535.0
1996.0,7700740.0,,,57935959.0
1997.0,7700939.0,,,58116018.0
1998.0,7685889.0,,,58298962.0
1999.0,7682497.0,,,58496613.0
2000.0,7695796.0,,,58858198.0
2001.0,7706472.0,,,59266572.0
2002.0,7717913.0,,,59685899.0
2003.0,7731264.0,,,60101841.0
2004.0,7766148.0,,,60505421.0
2005.0,7796359.0,,,60963264.0
2006.0,7814800.0,,,61399733.0
2007.0,7838862.0,,,61795238.0
2008.0,7850203.0,,,62134866.0
2009.0,7864098.0,,,62465709.0
2010.0,7882609.0,,,62765235.0
2011.0,7901666.0,,,63070344.0
2012.0,7908343.0,,,63375971.0
2013.0,7939908.0,,,63697865.0
2014.0,7977349.0,,,64027958.0
2015.0,8006756.0,,,64300821.0
2016.0,8004668.0,,,64468792.0
2017.0,7992828.0,,,64639133.0
2018.0,7990698.0,,,64844037.0
2019.0,7983456.0,,,65096768.0
2020.0,7951079.0,,,65269154.0
2021.0,7912558.0,,,65450219.0
2022.0,7883073.0,,,65646837.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1946.0,10501377.0,,,40125230.0
1947.0,10590786.0,,,40448254.0
1948.0,10721341.0,,,40910569.0
1949.0,10818245.0,,,41313195.0
1950.0,10904179.0,,,41647258.0
1951.0,11019702.0,,,42010088.0
1952.0,11107289.0,,,42300981.0
1953.0,11197515.0,,,42618354.0
1954.0,11257453.0,,,42885138.0
1955.0,11332508.0,,,43227872.0
1956.0,11409127.0,,,43627467.0
1957.0,11466613.0,,,44058683.0
1958.0,11529422.0,,,44563043.0
1959.0,11568030.0,,,45014662.0
1960.0,11588381.0,,,45464797.0
1961.0,11582648.0,,,45903656.0
1962.0,11564373.0,,,46422000.0
1963.0,11782215.0,,,47573406.0
1964.0,11804711.0,,,48059029.0
1965.0,11825989.0,,,48561800.0
1966.0,11831678.0,,,48953792.0
1967.0,11945367.0,,,49373537.0
1968.0,12076550.0,,,49723072.0
1969.0,12241138.0,,,50107735.0
1970.0,12436437.0,,,50528219.0
1971.0,12629901.0,,,51016234.0
1972.0,12790659.0,,,51485953.0
1973.0,12925116.0,,,51915873.0
1974.0,13070066.0,,,52320725.0
1975.0,13188617.0,,,52600000.0
1976.0,13350018.0,,,52798338.0
1977.0,13574902.0,,,53019005.0
1978.0,13791039.0,,,53271566.0
1979.0,13978273.0,,,53481073.0
1980.0,14158118.0,,,53731387.0
1981.0,14222607.0,,,54028630.0
1982.0,14316174.0,,,54335000.0
1983.0,14395708.0,,,54649984.0
1984.0,14488316.0,,,54894854.0
1985.0,14588650.0,,,55157303.0
1986.0,14678895.0,,,55411238.0
1987.0,14771251.0,,,55681780.0
1988.0,14860636.0,,,55966142.0
1989.0,14951116.0,,,56269810.0
1990.0,15055943.0,,,56577000.0
1991.0,15148409.0,,,56840661.0
1992.0,15258210.0,,,57110533.0
1993.0,15366832.0,,,57369161.0
1994.0,15461422.0,,,57565008.0
1995.0,15515692.0,,,57752535.0
1996.0,15549034.0,,,57935959.0
1997.0,15573867.0,,,58116018.0
1998.0,15618158.0,,,58298962.0
1999.0,15663652.0,,,58496613.0
2000.0,15754409.0,,,58858198.0
2001.0,15883622.0,,,59266572.0
2002.0,16028451.0,,,59685899.0
2003.0,16146421.0,,,60101841.0
2004.0,16228093.0,,,60505421.0
2005.0,16317284.0,,,60963264.0
2006.0,16412234.0,,,61399733.0
2007.0,16422379.0,,,61795238.0
2008.0,16393318.0,,,62134866.0
2009.0,16357834.0,,,62465709.0
2010.0,16316169.0,,,62765235.0
2011.0,16276697.0,,,63070344.0
2012.0,16257482.0,,,63375971.0
2013.0,16233475.0,,,63697865.0
2014.0,16199977.0,,,64027958.0
2015.0,16135172.0,,,64300821.0
2016.0,16067115.0,,,64468792.0
2017.0,16008860.0,,,64639133.0
2018.0,15974444.0,,,64844037.0
2019.0,15967310.0,,,65096768.0
2020.0,15946546.0,,,65269154.0
2021.0,15957509.0,,,65450219.0
2022.0,15960120.0,,,65646837.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1946.0,2645440.0,,,40125230.0
1947.0,2668733.0,,,40448254.0
1948.0,2700880.0,,,40910569.0
1949.0,2726531.0,,,41313195.0
1950.0,2731078.0,,,41647258.0
1951.0,2735783.0,,,42010088.0
1952.0,2736054.0,,,42300981.0
1953.0,2740707.0,,,42618354.0
1954.0,2740491.0,,,42885138.0
1955.0,2751425.0,,,43227872.0
1956.0,2760643.0,,,43627467.0
1957.0,2794792.0,,,44058683.0
1958.0,2844745.0,,,44563043.0
1959.0,2909448.0,,,45014662.0
1960.0,2984939.0,,,45464797.0
1961.0,3057991.0,,,45903656.0
1962.0,3151717.0,,,46422000.0
1963.0,3260767.0,,,47573406.0
1964.0,3320375.0,,,48059029.0
1965.0,3393851.0,,,48561800.0
1966.0,3456579.0,,,48953792.0
1967.0,3524804.0,,,49373537.0
1968.0,3580091.0,,,49723072.0
1969.0,3641515.0,,,50107735.0
1970.0,3689866.0,,,50528219.0
1971.0,3753390.0,,,51016234.0
1972.0,3797728.0,,,51485953.0
1973.0,3858639.0,,,51915873.0
1974.0,3911037.0,,,52320725.0
1975.0,3955753.0,,,52600000.0
1976.0,3909007.0,,,52798338.0
1977.0,3828665.0,,,53019005.0
1978.0,3765278.0,,,53271566.0
1979.0,3715418.0,,,53481073.0
1980.0,3690866.0,,,53731387.0
1981.0,3780450.0,,,54028630.0
1982.0,3859245.0,,,54335000.0
1983.0,3932806.0,,,54649984.0
1984.0,3998458.0,,,54894854.0
1985.0,4066266.0,,,55157303.0
1986.0,4136219.0,,,55411238.0
1987.0,4207903.0,,,55681780.0
1988.0,4284420.0,,,55966142.0
1989.0,4368222.0,,,56269810.0
1990.0,4448382.0,,,56577000.0
1991.0,4538581.0,,,56840661.0
1992.0,4621703.0,,,57110533.0
1993.0,4706204.0,,,57369161.0
1994.0,4772965.0,,,57565008.0
1995.0,4847712.0,,,57752535.0
1996.0,4905677.0,,,57935959.0
1997.0,4960941.0,,,58116018.0
1998.0,5012134.0,,,58298962.0
1999.0,5059996.0,,,58496613.0
2000.0,5116719.0,,,58858198.0
2001.0,5160925.0,,,59266572.0
2002.0,5194079.0,,,59685899.0
2003.0,5251788.0,,,60101841.0
2004.0,5320258.0,,,60505421.0
2005.0,5405733.0,,,60963264.0
2006.0,5487377.0,,,61399733.0
